Year,Renewables share
1960,21.4
1961,21.2
1962,25.2
1963,23.4
1964,25.7
1965,20.4
1966,20.3
1967,18.9
1968,19.0
1969,18.5
1970,22.3
1971,21.3
1972,18.2
1973,19.6
1974,20.6
1975,20.4
1976,16.5
1977,16.7
1978,17.4
1979,14.0
1980,14.2
1981,13.5
1982,11.9
1983,11.2
1984,11.8
1985,11.9
1986,10.7
1987,10.9
1988,10.4
1989,10.1
1990,10.8
1991,10.3
1992,10.8
1993,10.4
1994,9.8
1995,9.4
1996,9.8
1997,8.6
1998,8.7
1999,8.5
2000,8.0
2001,7.7
2002,8.5
2003,8.2
2004,8.9
2005,9.3
2006,8.7
2007,8.2
2008,7.5
2009,8.6
2010,10.5
2011,10.6
2012,13.3
2013,14.7
2014,13.5
2015,14.8
2016,15.7
2017,17.1
2018,19.7
2019,22.6
2020,24.4